300 40
0 0
1 0 C
1 2 C
1 3 B
1 6 B
1 8 B
1 10 B
1 12 C
1 16 B
1 18 B
1 20 B
1 22 C
1 24 C
1 27 C
1 28 B
1 31 C
1 32 B
1 33 C
1 35 B
1 36 C
2 0 B
2 3 B
2 6 C
2 9 B
2 12 C
2 18 C
2 19 B
2 20 C
2 22 C
2 23 C
2 24 B
2 28 C
2 30 C
2 33 B
2 34 B
2 36 C
2 39 C
3 0 C
3 1 C
3 5 B
3 6 B
3 7 B
3 9 C
3 12 B
3 15 C
3 16 B
3 23 C
3 25 C
3 26 C
3 27 C
3 28 B
3 29 B
3 30 C
3 31 C
3 32 C
3 33 B
3 35 C
3 39 B
4 1 B
4 5 B
4 9 C
4 11 B
4 13 B
4 16 B
4 18 C
4 21 C
4 22 C
4 23 B
4 25 C
4 26 B
4 27 C
4 28 B
4 30 C
4 33 B
4 35 C
4 37 B
4 38 C
4 39 C
5 0 C
5 2 B
5 3 B
5 6 C
5 12 C
5 13 B
5 16 C
5 17 C
5 20 C
5 22 C
5 23 B
5 25 B
5 26 B
5 27 C
5 29 B
5 31 C
5 32 C
5 36 C
6 0 C
6 1 B
6 4 B
6 7 C
6 9 B
6 10 B
6 11 B
6 12 B
6 17 C
6 19 C
6 25 B
6 26 B
6 32 B
6 36 B
6 38 C
6 39 B
7 0 B
7 7 C
7 8 B
7 9 C
7 11 B
7 14 B
7 17 C
7 20 C
7 23 B
7 25 B
7 29 C
7 30 C
7 33 B
7 37 C
8 0 B
8 1 C
8 2 C
8 3 C
8 7 B
8 9 C
8 10 C
8 13 B
8 14 C
8 15 B
8 16 B
8 17 C
8 20 B
8 26 B
8 28 B
8 33 C
8 35 B
8 38 C
9 0 B
9 2 B
9 6 B
9 7 B
9 10 C
9 13 C
9 14 C
9 16 C
9 20 B
9 21 C
9 22 B
9 24 B
9 25 C
9 29 C
9 31 B
9 32 B
9 36 C
9 38 B
10 0 C
10 2 C
10 4 B
10 5 C
10 6 C
10 8 B
10 13 B
10 16 B
10 17 B
10 18 C
10 19 B
10 21 C
10 24 B
10 27 C
10 28 C
10 29 B
10 30 B
10 31 C
10 34 C
11 2 C
11 6 B
11 10 C
11 11 C
11 13 B
11 16 B
11 17 B
11 19 B
11 21 C
11 26 B
11 27 C
11 31 B
11 32 B
11 34 C
11 36 C
11 37 C
11 38 B
12 0 C
12 2 C
12 7 C
12 10 C
12 11 B
12 14 B
12 15 C
12 17 B
12 20 C
12 22 C
12 24 C
12 26 B
12 31 B
12 34 B
12 35 C
12 36 C
12 37 B
12 38 B
13 1 B
13 5 C
13 6 B
13 7 B
13 8 C
13 10 B
13 13 B
13 16 C
13 20 C
13 25 C
13 33 C
13 34 B
13 35 C
13 36 C
13 37 B
13 38 B
14 1 C
14 2 C
14 5 C
14 10 B
14 12 C
14 13 B
14 16 B
14 17 C
14 18 C
14 20 B
14 24 C
14 29 B
14 31 B
14 35 C
14 36 B
14 38 C
14 39 C
15 4 C
15 7 B
15 9 C
15 11 B
15 13 C
15 17 C
15 18 C
15 20 C
15 21 C
15 23 C
15 28 C
15 33 B
15 34 B
15 35 C
15 37 C
16 2 C
16 7 B
16 8 B
16 12 C
16 16 C
16 19 C
16 20 C
16 21 B
16 25 C
16 26 C
16 33 B
16 34 C
16 35 B
16 36 B
16 38 C
16 39 B
17 1 B
17 2 C
17 5 C
17 6 C
17 8 C
17 9 C
17 10 C
17 12 B
17 14 C
17 15 B
17 16 B
17 20 C
17 22 C
17 27 B
17 30 C
17 31 B
17 33 B
17 35 C
17 38 B
18 4 C
18 6 C
18 9 B
18 10 B
18 12 C
18 16 C
18 23 B
18 24 B
18 29 B
18 30 B
18 34 B
18 37 B
18 38 C
19 0 C
19 2 C
19 4 B
19 6 B
19 7 B
19 8 B
19 9 B
19 12 C
19 13 B
19 20 C
19 24 B
19 25 C
19 29 C
19 30 C
19 32 C
19 33 B
19 35 C
19 39 B
20 0 C
20 2 C
20 5 C
20 7 C
20 8 C
20 10 C
20 14 C
20 17 B
20 18 B
20 19 B
20 21 B
20 24 C
20 25 C
20 26 B
20 30 B
20 31 C
20 32 B
20 33 C
20 34 C
20 36 C
20 37 B
21 0 C
21 6 C
21 10 B
21 12 C
21 23 B
21 25 B
21 29 B
21 32 C
21 35 C
21 36 B
22 5 B
22 6 C
22 8 B
22 11 B
22 12 C
22 13 B
22 15 C
22 23 C
22 24 B
22 25 C
22 30 B
22 31 C
22 32 B
22 35 C
22 36 C
22 37 B
23 1 B
23 4 C
23 5 B
23 11 C
23 12 B
