80 20
0 0
1 0 C
1 2 C
1 3 B
1 6 B
1 8 B
1 10 B
1 12 C
1 16 B
1 18 B
2 0 B
2 2 C
2 4 C
2 7 C
2 8 B
2 11 C
2 12 B
2 13 C
2 15 B
2 16 C
3 0 B
3 3 B
3 6 C
3 9 B
3 12 C
3 18 C
3 19 B
4 0 C
4 2 C
4 3 C
4 4 B
4 8 C
4 10 C
4 13 B
4 14 B
4 16 C
4 19 C
5 0 C
5 1 C
5 5 B
5 6 B
5 7 B
5 9 C
5 12 B
5 15 C
5 16 B
6 3 C
6 5 C
6 6 C
6 7 C
6 8 B
6 9 B
6 10 C
6 11 C
6 12 C
6 13 B
6 15 C
6 19 B
7 1 B
7 5 B
7 9 C
7 11 B
7 13 B
7 16 B
7 18 C
8 1 C
8 2 C
8 3 B
8 5 C
8 6 B
8 7 C
8 8 B
8 10 C
8 13 B
8 15 C
8 17 B
8 18 C
8 19 C
9 0 C
9 2 B
9 3 B
9 6 C
9 12 C
9 13 B
9 16 C
9 17 C
10 0 C
10 2 C
10 3 B
10 5 B
10 6 B
10 7 C
10 9 B
10 11 C
10 12 C
10 16 C
11 0 C
11 1 B
11 4 B
11 7 C
11 9 B
11 10 B
11 11 B
11 12 B
11 17 C
11 19 C
12 5 B
12 6 B
12 12 B
12 16 B
12 18 C
12 19 B
13 0 B
13 7 C
13 8 B
13 9 C
13 11 B
13 14 B
13 17 C
14 0 C
14 3 B
14 5 B
14 9 C
14 10 C
14 13 B
14 17 C
15 0 B
15 1 C
15 2 C
15 3 C
15 7 B
15 9 C
15 10 C
15 13 B
15 14 C
15 15 B
15 16 B
15 17 C
16 0 B
16 6 B
16 8 B
16 13 C
16 15 B
16 18 C
17 0 B
17 2 B
17 6 B
17 7 B
17 10 C
17 13 C
17 14 C
17 16 C
18 0 B
18 1 C
18 2 B
18 4 B
18 5 C
18 9 C
18 11 B
18 12 B
18 16 C
18 18 B
19 0 C
19 2 C
19 4 B
19 5 C
19 6 C
19 8 B
19 13 B
19 16 B
19 17 B
19 18 C
19 19 B
20 1 C
20 4 B
20 7 C
20 8 C
20 9 B
20 10 B
20 11 C
20 14 C
21 2 C
21 6 B
21 10 C
21 11 C
21 13 B
21 16 B
21 17 B
21 19 B
22 1 C
22 6 B
22 7 C
22 11 B
22 12 B
22 14 C
22 16 C
22 17 C
22 18 B
23 0 C
23 2 C
23 7 C
23 10 C
23 11 B
23 14 B
23 15 C
23 17 B
24 0 C
24 2 C
24 4 C
24 6 B
24 11 B
24 14 B
24 15 C
24 16 C
24 17 B
24 18 B
25 1 B
25 5 C
25 6 B
25 7 B
25 8 C
25 10 B
25 13 B
25 16 C
26 0 C
26 5 C
26 13 C
26 14 B
26 15 C
26 16 C
26 17 B
26 18 B
27 1 C
27 2 C
27 5 C
27 10 B
27 12 C
27 13 B
27 16 B
27 17 C
27 18 C
28 0 B
28 4 C
28 9 B
28 11 B
28 15 C
28 16 B
28 18 C
28 19 C
29 4 C
29 7 B
29 9 C
29 11 B
29 13 C
29 17 C
29 18 C
30 0 C
30 1 C
30 3 C
30 8 C
30 13 B
30 14 B
30 15 C
30 17 C
31 2 C
31 7 B
31 8 B
31 12 C
31 16 C
31 19 C
32 0 C
32 1 B
32 5 C
32 6 C
32 13 B
32 14 C
32 15 B
32 16 B
32 18 C
32 19 B
33 1 B
33 2 C
33 5 C
33 6 C
33 8 C
33 9 C
33 10 C
33 12 B
33 14 C
33 15 B
33 16 B
34 0 C
34 2 C
34 7 B
34 10 C
34 11 B
34 13 B
34 15 C
34 18 B
35 4 C
35 6 C
35 9 B
35 10 B
35 12 C
35 16 C
36 3 B
36 4 B
36 9 B
36 10 B
36 14 B
36 17 B
36 18 C
37 0 C
37 2 C
37 4 B
37 6 B
37 7 B
37 8 B
37 9 B
37 12 C
37 13 B
38 0 C
38 4 B
38 5 C
38 9 C
38 10 C
38 12 C
38 13 B
38 15 C
38 19 B
39 0 C
39 2 C
39 5 C
39 7 C
39 8 C
39 10 C
39 14 C
39 17 B
39 18 B
39 19 B
40 1 B
40 4 C
40 5 C
40 6 B
40 10 B
40 11 C
40 12 B
40 13 C
40 14 C
40 16 C
40 17 B
41 0 C
41 6 C
41 10 B
41 12 C
42 3 B
42 5 B
42 9 B
42 12 C
42 15 C
42 16 B
43 5 B
43 6 C
43 8 B
43 11 B
43 12 C
43 13 B
43 15 C
44 3 C
44 4 B
44 5 C
44 10 B
44 11 C
44 12 B
44 15 C
44 16 C
44 17 B
45 1 B
45 4 C
45 5 B
45 11 C
45 12 B
