100 31
0 28
0 15 C
0 0 C
3 0 C
6 0 C
9 0 C
12 0 C
15 0 C
18 0 C
18 0 C
21 0 C
24 0 C
27 0 C
30 0 C
33 0 C
36 0 C
39 0 C
42 0 C
45 0 C
48 0 C
51 0 C
54 0 C
57 0 C
60 0 C
63 0 C
66 0 C
69 0 C
72 0 C
75 0 C
78 0 C
81 0 C
84 0 C
87 0 C
90 0 C
93 0 C
96 0 C
99 0 C
1 3 C
4 3 C
7 3 C
10 3 C
13 3 C
16 3 C
19 3 C
22 3 C
25 3 C
28 3 C
31 3 C
34 3 C
37 3 C
40 3 C
43 3 C
46 3 C
49 3 C
52 3 C
55 3 C
58 3 C
61 3 C
64 3 C
67 3 C
70 3 C
73 3 C
76 3 C
79 3 C
82 3 C
85 3 C
88 3 C
91 3 C
94 3 C
97 3 C
2 6 C
5 6 C
8 6 C
11 6 C
14 6 C
17 6 C
20 6 C
23 6 C
26 6 C
29 6 C
32 6 C
35 6 C
38 6 C
41 6 C
44 6 C
47 6 C
50 6 C
53 6 C
56 6 C
59 6 C
62 6 C
65 6 C
68 6 C
71 6 C
74 6 C
77 6 C
80 6 C
83 6 C
86 6 C
89 6 C
92 6 C
95 6 C
98 6 C
3 9 C
6 9 C
9 9 C
12 9 C
15 9 C
18 9 C
18 9 C
21 9 C
24 9 C
27 9 C
30 9 C
33 9 C
36 9 C
39 9 C
42 9 C
45 9 C
48 9 C
51 9 C
54 9 C
57 9 C
60 9 C
63 9 C
66 9 C
69 9 C
72 9 C
75 9 C
78 9 C
81 9 C
84 9 C
87 9 C
90 9 C
93 9 C
96 9 C
99 9 C
4 12 C
7 12 C
10 12 C
13 12 C
16 12 C
19 12 C
22 12 C
25 12 C
28 12 C
31 12 C
34 12 C
37 12 C
40 12 C
43 12 C
46 12 C
49 12 C
52 12 C
55 12 C
58 12 C
61 12 C
64 12 C
67 12 C
70 12 C
73 12 C
76 12 C
79 12 C
82 12 C
85 12 C
88 12 C
91 12 C
94 12 C
97 12 C
5 15 C
8 15 C
11 15 C
14 15 C
17 15 C
20 15 C
23 15 C
26 15 C
29 15 C
32 15 C
35 15 C
38 15 C
41 15 C
44 15 C
47 15 C
50 15 C
53 15 C
56 15 C
59 15 C
62 15 C
65 15 C
68 15 C
71 15 C
74 15 C
77 15 C
80 15 C
83 15 C
86 15 C
89 15 C
92 15 C
95 15 C
98 15 C
6 18 C
9 18 C
12 18 C
15 18 C
18 18 C
18 18 C
21 18 C
24 18 C
27 18 C
30 18 C
33 18 C
36 18 C
39 18 C
