29998 14
0 0
1 2 B
2 5 B
3 8 B
4 11 B
4 2 B
5 5 B
6 8 B
7 11 B
7 2 B
8 5 B
9 8 B
10 11 B
10 2 B
11 5 B
12 8 B
13 11 B
13 2 B
14 5 B
15 8 B
16 11 B
16 2 B
17 5 B
18 8 B
19 11 B
19 2 B
20 5 B
21 8 B
22 11 B
22 2 B
23 5 B
24 8 B
25 11 B
25 2 B
26 5 B
27 8 B
28 11 B
28 2 B
29 5 B
30 8 B
31 11 B
31 2 B
32 5 B
33 8 B
34 11 B
34 2 B
35 5 B
36 8 B
37 11 B
37 2 B
38 5 B
39 8 B
40 11 B
40 2 B
41 5 B
42 8 B
43 11 B
43 2 B
44 5 B
45 8 B
46 11 B
46 2 B
47 5 B
48 8 B
49 11 B
49 2 B
50 5 B
51 8 B
52 11 B
52 2 B
53 5 B
54 8 B
55 11 B
55 2 B
56 5 B
57 8 B
58 11 B
58 2 B
59 5 B
60 8 B
61 11 B
61 2 B
62 5 B
63 8 B
64 11 B
64 2 B
65 5 B
66 8 B
67 11 B
67 2 B
68 5 B
69 8 B
70 11 B
70 2 B
71 5 B
72 8 B
73 11 B
73 2 B
74 5 B
75 8 B
76 11 B
76 2 B
77 5 B
78 8 B
79 11 B
79 2 B
80 5 B
81 8 B
82 11 B
82 2 B
83 5 B
84 8 B
85 11 B
85 2 B
86 5 B
87 8 B
88 11 B
88 2 B
89 5 B
90 8 B
91 11 B
91 2 B
92 5 B
93 8 B
94 11 B
94 2 B
95 5 B
96 8 B
97 11 B
97 2 B
98 5 B
99 8 B
100 11 B
100 2 B
101 5 B
102 8 B
103 11 B
103 2 B
104 5 B
105 8 B
106 11 B
106 2 B
107 5 B
108 8 B
109 11 B
109 2 B
110 5 B
111 8 B
112 11 B
112 2 B
113 5 B
114 8 B
115 11 B
115 2 B
116 5 B
117 8 B
118 11 B
118 2 B
119 5 B
120 8 B
121 11 B
121 2 B
122 5 B
123 8 B
124 11 B
124 2 B
125 5 B
126 8 B
127 11 B
127 2 B
128 5 B
129 8 B
130 11 B
130 2 B
131 5 B
132 8 B
133 11 B
133 2 B
134 5 B
135 8 B
136 11 B
136 2 B
137 5 B
138 8 B
139 11 B
139 2 B
140 5 B
141 8 B
142 11 B
142 2 B
143 5 B
144 8 B
145 11 B
145 2 B
146 5 B
147 8 B
148 11 B
148 2 B
149 5 B
150 8 B
151 11 B
151 2 B
152 5 B
153 8 B
154 11 B
154 2 B
155 5 B
156 8 B
157 11 B
157 2 B
158 5 B
159 8 B
160 11 B
160 2 B
161 5 B
162 8 B
163 11 B
163 2 B
164 5 B
165 8 B
166 11 B
166 2 B
167 5 B
168 8 B
169 11 B
169 2 B
170 5 B
171 8 B
172 11 B
172 2 B
173 5 B
174 8 B
175 11 B
175 2 B
176 5 B
177 8 B
178 11 B
178 2 B
179 5 B
180 8 B
181 11 B
181 2 B
182 5 B
183 8 B
184 11 B
184 2 B
185 5 B
186 8 B
187 11 B
187 2 B
188 5 B
189 8 B
190 11 B
190 2 B
191 5 B
192 8 B
193 11 B
193 2 B
194 5 B
195 8 B
196 11 B
196 2 B
197 5 B
198 8 B
199 11 B
199 2 B
200 5 B
201 8 B
202 11 B
202 2 B
203 5 B
204 8 B
205 11 B
205 2 B
206 5 B
207 8 B
208 11 B
208 2 B
209 5 B
210 8 B
211 11 B
211 2 B
212 5 B
213 8 B
214 11 B
214 2 B
215 5 B
216 8 B
217 11 B
217 2 B
218 5 B
219 8 B
220 11 B
220 2 B
221 5 B
222 8 B
223 11 B
223 2 B
224 5 B
225 8 B
226 11 B
226 2 B
227 5 B
228 8 B
229 11 B
229 2 B
230 5 B
231 8 B
232 11 B
232 2 B
233 5 B
234 8 B
235 11 B
235 2 B
236 5 B
237 8 B
238 11 B
238 2 B
239 5 B
240 8 B
241 11 B
241 2 B
242 5 B
243 8 B
244 11 B
244 2 B
245 5 B
246 8 B
247 11 B
247 2 B
248 5 B
249 8 B
250 11 B
250 2 B
251 5 B
252 8 B
253 11 B
253 2 B
254 5 B
255 8 B
256 11 B
256 2 B
257 5 B
258 8 B
259 11 B
259 2 B
260 5 B
261 8 B
262 11 B
262 2 B
263 5 B
264 8 B
265 11 B
265 2 B
266 5 B
267 8 B
268 11 B
268 2 B
269 5 B
270 8 B
271 11 B
271 2 B
272 5 B
273 8 B
274 11 B
274 2 B
275 5 B
276 8 B
277 11 B
277 2 B
278 5 B
279 8 B
280 11 B
280 2 B
281 5 B
282 8 B
283 11 B
283 2 B
284 5 B
285 8 B
286 11 B
286 2 B
287 5 B
288 8 B
289 11 B
289 2 B
290 5 B
291 8 B
292 11 B
292 2 B
293 5 B
294 8 B
295 11 B
295 2 B
296 5 B
297 8 B
298 11 B
298 2 B
299 5 B
300 8 B
301 11 B
301 2 B
302 5 B
303 8 B
304 11 B
304 2 B
305 5 B
306 8 B
307 11 B
307 2 B
308 5 B
309 8 B
310 11 B
310 2 B
311 5 B
312 8 B
313 11 B
313 2 B
314 5 B
315 8 B
316 11 B
316 2 B
317 5 B
318 8 B
319 11 B
319 2 B
320 5 B
321 8 B
322 11 B
322 2 B
323 5 B
324 8 B
325 11 B
325 2 B
326 5 B
327 8 B
328 11 B
328 2 B
329 5 B
330 8 B
331 11 B
331 2 B
332 5 B
333 8 B
334 11 B
334 2 B
335 5 B
336 8 B
337 11 B
337 2 B
338 5 B
339 8 B
340 11 B
340 2 B
341 5 B
342 8 B
343 11 B
343 2 B
344 5 B
345 8 B
346 11 B
346 2 B
347 5 B
348 8 B
349 11 B
349 2 B
350 5 B
351 8 B
352 11 B
352 2 B
353 5 B
354 8 B
355 11 B
355 2 B
356 5 B
357 8 B
358 11 B
358 2 B
359 5 B
360 8 B
361 11 B
361 2 B
362 5 B
363 8 B
364 11 B
364 2 B
365 5 B
366 8 B
367 11 B
367 2 B
368 5 B
369 8 B
370 11 B
370 2 B
371 5 B
372 8 B
373 11 B
373 2 B
374 5 B
375 8 B
376 11 B
376 2 B
377 5 B
378 8 B
379 11 B
379 2 B
380 5 B
381 8 B
382 11 B
382 2 B
383 5 B
384 8 B
385 11 B
385 2 B
386 5 B
387 8 B
388 11 B
388 2 B
389 5 B
390 8 B
391 11 B
391 2 B
392 5 B
393 8 B
394 11 B
394 2 B
395 5 B
396 8 B
397 11 B
397 2 B
398 5 B
399 8 B
400 11 B
400 2 B
401 5 B
402 8 B
403 11 B
403 2 B
404 5 B
405 8 B
406 11 B
406 2 B
407 5 B
408 8 B
409 11 B
409 2 B
410 5 B
411 8 B
412 11 B
412 2 B
413 5 B
414 8 B
415 11 B
415 2 B
416 5 B
417 8 B
418 11 B
418 2 B
419 5 B
420 8 B
421 11 B
421 2 B
422 5 B
423 8 B
424 11 B
424 2 B
425 5 B
